drg_code,drg_description,total_discharges,avg_charges,avg_medicare_payment,payment_gap,gap_pct
627,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC",155,69434.25,9591.66,59842.59,86.2
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,550306,72249.75,14608.51,57641.24,79.8
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",80913,66140.99,11939.62,54201.37,81.9
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,275104,60450.49,15985.21,44465.28,73.6
291,HEART FAILURE AND SHOCK WITH MCC,324750,47891.74,9473.74,38418.0,80.2
885,PSYCHOSES,44110,43098.17,10006.69,33091.48,76.8
